"reviewer_id","state","city","street","latitude","longitude","rating_count","review_time","review_date","days_since_review","rating_num"
"28418","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28419","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","7 years ago","2018-06-03","2555","1"
"28420","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28421","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","2"
"28422","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","3"
"28423","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","2"
"28424","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28425","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28426","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","4"
"28427","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28428","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28429","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28430","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","4"
"28431","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","4"
"28432","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","11 months ago","2024-07-06","330","1"
"28433","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28434","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","7 months ago","2024-11-03","210","3"
"28435","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","9 years ago","2016-06-03","3285","1"
"28436","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","5"
"28437","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","11 months ago","2024-07-06","330","4"
"28438","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28439","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","4"
"28440","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28441","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","2"
"28442","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28443","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28444","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 months ago","2025-03-03","90","5"
"28445","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","1"
"28446","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28447","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","7 years ago","2018-06-03","2555","1"
"28448","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","4"
